Job_Title,Location,Company,Salary_Min,Salary_Max,Date_Posted,Remote
Senior Software Engineer,"Milano, IT",DataWorks,55421,71010.0,2024-11-06,True
Data Engineer,"Roma, IT",,41590,57377.0,2024-01-06,False
Data Engineer,"Napoli, IT",Quantum Systems,39003,,2024-04-03,False
Data Analyst,Remote,InnovaSoft,33289,51992.0,2024-06-21,True
Data Scientist,Remote,PixelLabs,43141,57056.0,2024-04-22,True
Data Scientist,"Bologna, IT",PixelLabs,46749,53577.0,2024-12-21,False
Data Analyst,Remote,PixelLabs,29901,34910.0,2024-05-17,True
DevOps Engineer,"Milano, IT",DataWorks,44713,,2024-11-24,True
Frontend Developer,Remote,Quantum Systems,34038,48348.0,2024-11-13,False
Backend Developer,"Milano, IT",DataWorks,36908,47164.0,2024-02-04,False
Backend Developer,"Napoli, IT",ByteForge,38643,51650.0,2024-08-16,False
Data Engineer,Remote,NextGen AI,43820,51718.0,2024-03-02,True
Data Scientist,"Torino, IT",InnovaSoft,44136,59191.0,2024-01-14,False
Data Analyst,"Roma, IT",DataWorks,34142,48326.0,2024-08-12,False
DevOps Engineer,"Torino, IT",InnovaSoft,43151,50121.0,2024-03-07,True
DevOps Engineer,"Napoli, IT",ByteForge,46742,61969.0,2024-06-05,False
ML Engineer,"Bologna, IT",PixelLabs,47950,55193.0,2024-01-10,False
Data Analyst,Remote,CloudNine,34237,46563.0,2024-12-30,True
ML Engineer,"Roma, IT",InnovaSoft,50719,70101.0,2024-06-21,True
Data Engineer,"Torino, IT",PixelLabs,40955,55981.0,2024-05-27,False
DevOps Engineer,"Torino, IT",InnovaSoft,43597,54763.0,2024-10-28,True
ML Engineer,Remote,NextGen AI,50005,62795.0,2024-06-19,True
DevOps Engineer,"Milano, IT",NextGen AI,46443,55319.0,2024-04-15,False
Data Scientist,"Napoli, IT",TechCorp,47109,,2024-10-23,False
Data Analyst,"Milano, IT",ByteForge,31861,40278.0,2024-06-30,True
Backend Developer,"Milano, IT",InnovaSoft,39662,58884.0,2024-11-04,True
Data Analyst,"Roma, IT",InnovaSoft,33212,46182.0,2024-01-25,False
Data Scientist,"Torino, IT",InnovaSoft,45281,56771.0,2024-12-29,True
DevOps Engineer,"Milano, IT",TechCorp,45120,63117.0,2024-06-09,False
Data Engineer,Remote,PixelLabs,43757,54345.0,2024-12-02,False
Senior Software Engineer,"Milano, IT",,55701,65883.0,2024-02-18,True
Backend Developer,"Napoli, IT",Quantum Systems,37262,43213.0,2024-02-01,True
ML Engineer,"Napoli, IT",PixelLabs,48500,65187.0,2024-09-13,False
Data Scientist,"Torino, IT",InnovaSoft,46289,56521.0,2024-06-14,True
Data Analyst,"Roma, IT",ByteForge,32335,45373.0,2024-09-22,False
Data Scientist,"Bologna, IT",DataWorks,45451,50505.0,2024-06-26,False
Data Analyst,"Napoli, IT",NextGen AI,31806,51100.0,2024-11-23,True
ML Engineer,"Napoli, IT",DataWorks,50675,63645.0,2024-03-18,False
Senior Software Engineer,"Roma, IT",InnovaSoft,57619,69231.0,2024-11-06,True
Frontend Developer,"Bologna, IT",DataWorks,34198,42893.0,2024-02-05,False
